S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
11,AVYAN,-,"1,020.60","1,040.00",991.00,996.37,"1,001.87","4,847.00","1,039.34",997.00,"4,856,061.00",75,-42.97,49.00,-4.13,4.94,-0.55,"1,043.34","1,029.19","1,306.80",628.10
12,BARUN,-,501.00,507.50,493.00,494.25,499.10,"102,794.00",506.93,494.10,"51,304,836.20",410,-12.68,14.50,-2.50,2.94,-0.98,427.80,399.42,550.00,211.00
13,BBC,-,"5,415.00","5,415.00","5,210.00","5,211.40","5,238.15","1,426.00","5,312.82","5,225.00","7,469,599.00",66,-101.42,205.00,-1.91,3.93,-0.51,"5,232.61","4,945.49","7,247.00","3,631.00"
14,BEDC,-,790.00,793.00,764.00,768.68,777.43,"20,393.00",805.13,769.00,"15,854,030.90",187,-36.45,29.00,-4.53,3.80,-1.14,662.86,595.85,"1,080.00",337.20
15,BFC,-,565.00,565.00,535.00,536.15,542.68,"25,631.00",559.62,538.00,"13,909,461.80",242,-23.47,30.00,-4.19,5.61,-1.22,655.07,622.86,951.60,330.00
16,BGWT,-,"1,020.00","1,030.00",982.00,986.90,999.27,"11,884.00","1,035.97",995.00,"11,875,273.00",119,-49.07,48.00,-4.74,4.89,-1.25,"1,023.30","1,008.79","1,361.70",579.10
17,BHDC,-,598.00,598.00,571.00,573.32,579.90,"8,521.00",598.61,571.00,"4,941,316.40",101,-25.29,27.00,-4.22,4.73,-1.15,649.52,641.15,829.70,443.00
18,BHL,-,340.00,344.00,320.60,329.72,330.94,"7,508.00",339.37,331.80,"2,484,721.40",105,-9.65,23.40,-2.84,7.30,-0.37,388.73,394.26,520.00,312.70
19,BHPL,-,"1,015.00","1,045.00","1,006.10","1,024.42","1,011.22","8,531.00","1,025.29","1,007.50","8,626,750.60",57,-0.87,38.90,-0.08,3.87,1.29,873.80,810.11,"1,275.00",449.00
20,BNHC,-,490.40,499.00,481.10,482.14,485.47,"14,859.00",497.88,481.20,"7,213,575.90",125,-15.74,17.90,-3.16,3.72,-0.69,511.26,549.89,742.00,422.00
21,BNL,-,"19,931.69","19,931.69","19,931.69","19,931.69","19,931.69",10.00,"20,338.40","19,931.69","199,316.90",1,-406.71,0.00,-2.00,0.00,0.00,"17,523.86","17,102.08","22,500.00","14,900.00"
22,BNT,-,"13,000.00","13,000.00","12,700.00","12,949.00","12,745.17","1,635.00","13,012.50","12,998.00","20,838,349.00",48,-63.50,300.00,-0.49,2.36,1.57,"13,952.16","14,141.81","18,100.00","12,208.10"
23,BPCL,-,394.00,394.00,384.00,384.90,387.77,"12,260.00",394.93,385.00,"4,754,002.10",113,-10.03,10.00,-2.54,2.60,-0.74,420.73,406.54,536.50,284.40
24,C30MF,-,9.00,9.00,8.83,8.83,8.92,"2,400.00",9.00,8.83,"21,408.90",4,-0.17,0.17,-1.89,1.93,-1.02,9.43,9.47,10.92,8.13
25,CBBL,-,830.00,840.00,825.00,825.72,829.22,"11,648.00",839.71,825.20,"9,658,736.80",225,-13.99,15.00,-1.67,1.82,-0.42,914.77,929.75,"1,155.00",800.00
26,CBLD88,-,"1,118.70","1,125.00","1,118.70","1,125.00","1,123.03",80.00,"1,120.70","1,125.00","89,842.50",4,4.30,6.30,0.38,0.56,0.18,"1,111.87","1,086.64","1,254.20","1,005.00"
