S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
191,NIBD84,42.22,"1,070.00","1,070.00","1,056.10","1,056.10","1,056.10",0.00,0.00,"1,063.05",50.00,"1,071.50","53,152.50",2,-15.40,13.90,-1.44,1.32,-0.66,"1,047.89","1,040.69","1,130.00","1,013.10"
192,NIBLGF,51.66,9.30,9.69,8.65,9.46,9.46,0.00,0.00,9.49,"265,400.00",9.36,"2,519,424.00",50,0.10,1.04,1.07,12.02,-0.35,8.98,9.02,11.03,7.84
193,NIBLSTF,48.87,9.40,9.66,9.40,9.60,9.60,0.00,0.00,9.47,"45,400.00",9.49,"429,949.04",30,0.11,0.26,1.16,2.77,1.35,8.72,8.71,10.08,7.85
194,NIBSF2,52.53,9.48,9.74,9.45,9.74,9.74,0.00,0.00,9.55,"135,248.00",9.48,"1,291,880.64",35,0.26,0.29,2.74,3.07,1.93,8.75,8.75,10.52,8.06
195,NICA,49.53,370.00,390.00,367.10,389.00,389.00,0.00,0.00,378.17,"515,134.00",366.00,"194,808,254.90","1,637",23.00,22.90,6.28,6.24,2.78,330.30,343.12,428.40,304.50
196,NICAD2091,27.82,"1,064.00","1,064.00","1,063.60","1,064.00","1,064.00",0.00,0.00,"1,063.79",75.00,"1,063.30","79,784.00",4,0.70,0.40,0.07,0.04,0.02,0.00,0.00,"1,102.60","1,005.20"
197,NICAD85/86,40.18,"1,181.00","1,181.00","1,153.00","1,157.40","1,157.40",0.00,0.00,"1,154.57",253.00,"1,181.00","292,105.00",3,-23.60,28.00,-2.00,2.43,0.24,"1,100.13",0.00,"1,190.00","1,060.00"
198,NICBF,35.23,10.16,11.17,9.58,9.58,9.58,0.00,0.00,10.67,"20,900.00",10.16,"222,980.00",15,-0.58,1.59,-5.71,16.60,-11.37,9.28,9.28,11.17,8.48
199,NICD88,48.39,"1,087.20","1,127.00","1,087.20","1,127.00","1,127.00",0.00,0.00,"1,126.85",120.00,"1,087.20","135,221.90",2,39.80,39.80,3.66,3.66,0.01,"1,063.79","1,047.00","1,153.00","1,019.20"
200,NICFC,43.80,9.31,9.70,9.31,9.63,9.63,0.00,0.00,9.61,"23,970.00",9.43,"230,359.10",40,0.20,0.39,2.12,4.19,0.20,9.00,9.19,10.40,8.37
201,NICGF2,48.81,9.50,9.82,9.50,9.64,9.64,0.00,0.00,9.69,"43,850.00",9.63,"424,914.00",29,0.01,0.32,0.10,3.37,-0.52,8.93,8.92,9.98,8.33
